entry_id,student_id,date,day_of_week,meal_type,entry_time,is_sunday,is_exam_week,mess_block
MESS0000001,STU0004,2024-01-01,Monday,Breakfast,07:13,False,False,Mess_A
MESS0000002,STU0005,2024-01-01,Monday,Breakfast,08:50,False,False,Mess_A
MESS0000003,STU0007,2024-01-01,Monday,Breakfast,08:10,False,False,Mess_B
MESS0000004,STU0009,2024-01-01,Monday,Breakfast,08:54,False,False,Mess_B
MESS0000005,STU0010,2024-01-01,Monday,Breakfast,08:36,False,False,Mess_B
MESS0000006,STU0013,2024-01-01,Monday,Breakfast,07:25,False,False,Mess_B
MESS0000007,STU0017,2024-01-01,Monday,Breakfast,07:23,False,False,Mess_B
MESS0000008,STU0021,2024-01-01,Monday,Breakfast,08:57,False,False,Mess_A
MESS0000009,STU0027,2024-01-01,Monday,Breakfast,07:48,False,False,Mess_B
MESS0000010,STU0030,2024-01-01,Monday,Breakfast,08:44,False,False,Mess_A
MESS0000011,STU0031,2024-01-01,Monday,Breakfast,08:20,False,False,Mess_B
MESS0000012,STU0035,2024-01-01,Monday,Breakfast,08:25,False,False,Mess_B
MESS0000013,STU0038,2024-01-01,Monday,Breakfast,08:56,False,False,Mess_B
MESS0000014,STU0039,2024-01-01,Monday,Breakfast,07:22,False,False,Mess_A
MESS0000015,STU0040,2024-01-01,Monday,Breakfast,07:00,False,False,Mess_B
MESS0000016,STU0043,2024-01-01,Monday,Breakfast,08:32,False,False,Mess_B
MESS0000017,STU0047,2024-01-01,Monday,Breakfast,08:40,False,False,Mess_B
MESS0000018,STU0049,2024-01-01,Monday,Breakfast,07:31,False,False,Mess_A
MESS0000019,STU0050,2024-01-01,Monday,Breakfast,07:54,False,False,Mess_B
MESS0000020,STU0052,2024-01-01,Monday,Breakfast,07:13,False,False,Mess_A
MESS0000021,STU0056,2024-01-01,Monday,Breakfast,07:14,False,False,Mess_B
MESS0000022,STU0058,2024-01-01,Monday,Breakfast,08:14,False,False,Mess_A
