student_id,date,day_of_week,login_time,duration_minutes,data_used_mb,access_point,device_type,is_exam_week,login_hour,is_night
STU0001,2024-01-01,Monday,17:36,109,160.53,Hostel_H2,Tablet,False,17,0
STU0001,2024-01-01,Monday,05:31,26,64.24,Hostel_H2,Tablet,False,5,0
STU0001,2024-01-01,Monday,07:17,49,111.33,Hostel_H1,Mobile,False,7,0
STU0001,2024-01-01,Monday,12:20,32,80.92,Canteen,Mobile,False,12,0
STU0001,2024-01-02,Tuesday,23:25,14,34.08,Block_B_F1,Mobile,False,23,1
STU0001,2024-01-02,Tuesday,10:26,65,112.82,Hostel_H1,Mobile,False,10,0
STU0001,2024-01-02,Tuesday,08:50,45,135.42,Hostel_H2,Laptop,False,8,0
STU0001,2024-01-02,Tuesday,19:23,34,110.81,Block_A_F2,Laptop,False,19,0
STU0001,2024-01-03,Wednesday,02:36,65,207.88,Block_A_F2,Laptop,False,2,0
STU0001,2024-01-03,Wednesday,23:08,46,87.81,Hostel_H1,Tablet,False,23,1
STU0001,2024-01-04,Thursday,18:17,76,93.83,Canteen,Laptop,False,18,0
STU0001,2024-01-04,Thursday,02:09,65,89.19,Block_B_F1,Tablet,False,2,0
STU0001,2024-01-04,Thursday,08:51,30,92.18,Block_A_F1,Tablet,False,8,0
STU0001,2024-01-05,Friday,21:16,99,160.79,Block_A_F1,Laptop,False,21,1
STU0001,2024-01-05,Friday,19:28,25,19.76,Block_A_F1,Laptop,False,19,0
STU0001,2024-01-05,Friday,19:17,66,124.78,Block_A_F2,Laptop,False,19,0
STU0001,2024-01-05,Friday,16:53,27,44.36,Block_B_F1,Tablet,False,16,0
STU0001,2024-01-06,Saturday,18:40,33,19.6,Block_B_F1,Laptop,False,18,0
STU0001,2024-01-07,Sunday,07:35,36,30.56,Hostel_H2,Tablet,False,7,0
STU0001,2024-01-08,Monday,03:30,64,123.17,Hostel_H1,Tablet,False,3,0
STU0001,2024-01-08,Monday,07:02,22,14.19,Block_B_F1,Tablet,False,7,0
STU0001,2024-01-08,Monday,18:38,24,68.08,Canteen,Tablet,False,18,0
STU0001,2024-01-09,Tuesday,18:04,26,32.49,Hostel_H2,Mobile,False,18,0
STU0001,2024-01-09,Tuesday,18:43,120,360.69,Hostel_H1,Laptop,False,18,0
STU0001,2024-01-09,Tuesday,18:48,6,9.9,Hostel_H1,Mobile,False,18,0
STU0001,2024-01-09,Tuesday,13:22,39,69.2,Library,Mobile,False,13,0
STU0001,2024-01-10,Wednesday,18:58,27,70.21,Canteen,Tablet,False,18,0
STU0001,2024-01-10,Wednesday,22:26,58,103.84,Labs,Mobile,False,22,1
STU0001,2024-01-10,Wednesday,22:26,51,50.9,Hostel_H1,Mobile,False,22,1
STU0001,2024-01-11,Thursday,09:56,35,66.38,Canteen,Laptop,False,9,0
STU0001,2024-01-11,Thursday,18:09,88,233.29,Block_A_F1,Laptop,False,18,0
STU0001,2024-01-11,Thursday,20:01,51,48.24,Library,Tablet,False,20,0
STU0001,2024-01-12,Friday,04:18,61,161.64,Labs,Mobile,False,4,0
