student_id,date,day_of_week,subject,department,status,entry_time,exit_time,is_exam_week,status_bin,week,month,overall_att_rate,rolling_7d_att
STU0001,2024-01-01,Monday,DBMS,CSE,Present,08:02,16:27,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-01,Monday,OS,CSE,Present,09:15,16:23,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-01,Monday,CN,CSE,Present,08:20,17:38,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-01,Monday,ML,CSE,Absent,09:00,17:00,False,0,1,1,0.8205128205128205,0.8
STU0001,2024-01-01,Monday,DSA,CSE,Present,08:09,16:25,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-02,Tuesday,DBMS,CSE,Present,09:10,17:21,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-02,Tuesday,OS,CSE,Present,08:09,17:38,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-02,Tuesday,CN,CSE,Absent,09:00,17:00,False,0,1,1,0.8205128205128205,0.8
STU0001,2024-01-02,Tuesday,ML,CSE,Present,09:05,17:20,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-02,Tuesday,DSA,CSE,Present,09:18,16:20,False,1,1,1,0.8205128205128205,0.8
STU0001,2024-01-03,Wednesday,DBMS,CSE,Present,09:11,16:59,False,1,1,1,0.8205128205128205,0.8666666666666667
STU0001,2024-01-03,Wednesday,OS,CSE,Present,08:17,16:46,False,1,1,1,0.8205128205128205,0.8666666666666667
STU0001,2024-01-03,Wednesday,CN,CSE,Present,08:14,17:53,False,1,1,1,0.8205128205128205,0.8666666666666667
STU0001,2024-01-03,Wednesday,ML,CSE,Present,09:15,16:40,False,1,1,1,0.8205128205128205,0.8666666666666667
STU0001,2024-01-03,Wednesday,DSA,CSE,Present,09:04,18:27,False,1,1,1,0.8205128205128205,0.8666666666666667
STU0001,2024-01-04,Thursday,DBMS,CSE,Present,08:14,18:30,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-04,Thursday,OS,CSE,Present,09:17,16:50,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-04,Thursday,CN,CSE,Present,08:03,16:42,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-04,Thursday,ML,CSE,Present,08:20,18:02,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-04,Thursday,DSA,CSE,Present,09:00,17:06,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-05,Friday,DBMS,CSE,Present,09:07,18:47,False,1,1,1,0.8205128205128205,0.9199999999999999
STU0001,2024-01-05,Friday,OS,CSE,Present,08:14,17:25,False,1,1,1,0.8205128205128205,0.9199999999999999
STU0001,2024-01-05,Friday,CN,CSE,Present,08:11,16:30,False,1,1,1,0.8205128205128205,0.9199999999999999
STU0001,2024-01-05,Friday,ML,CSE,Present,09:02,16:53,False,1,1,1,0.8205128205128205,0.9199999999999999
STU0001,2024-01-05,Friday,DSA,CSE,Present,08:11,17:21,False,1,1,1,0.8205128205128205,0.9199999999999999
STU0001,2024-01-06,Saturday,DBMS,CSE,Present,08:16,17:22,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-06,Saturday,OS,CSE,Present,09:14,17:04,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-06,Saturday,CN,CSE,Present,08:00,17:41,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-06,Saturday,ML,CSE,Present,08:07,18:11,False,1,1,1,0.8205128205128205,0.9
STU0001,2024-01-06,Saturday,DSA,CSE,Absent,09:00,17:00,False,0,1,1,0.8205128205128205,0.9
STU0001,2024-01-08,Monday,DBMS,CSE,Absent,09:00,17:00,False,0,2,1,0.8205128205128205,0.8571428571428571
