student_id,date,daily_att,rolling_7d_att,total_mb,sessions,avg_duration,department,section,semester,hostel_block,day_of_week,is_weekend,week,month
STU0001,2024-01-01,0.8,0.8,417.02,4.0,54.0,CSE,A,5,H2,Monday,0,1,1
STU0001,2024-01-02,0.8,0.8,393.13,4.0,39.5,CSE,A,5,H2,Tuesday,0,1,1
STU0001,2024-01-03,1.0,0.8666666666666667,295.69,2.0,55.5,CSE,A,5,H2,Wednesday,0,1,1
STU0001,2024-01-04,1.0,0.9,275.2,3.0,57.0,CSE,A,5,H2,Thursday,0,1,1
STU0001,2024-01-05,1.0,0.9199999999999999,349.69,4.0,54.25,CSE,A,5,H2,Friday,0,1,1
STU0001,2024-01-06,0.8,0.9,19.6,1.0,33.0,CSE,A,5,H2,Saturday,1,1,1
STU0001,2024-01-08,0.6,0.8571428571428571,205.44,3.0,36.666666666666664,CSE,A,5,H2,Monday,0,2,1
STU0001,2024-01-09,0.8,0.8571428571428571,472.28000000000003,4.0,47.75,CSE,A,5,H2,Tuesday,0,2,1
STU0001,2024-01-10,1.0,0.8857142857142856,224.95,3.0,45.333333333333336,CSE,A,5,H2,Wednesday,0,2,1
STU0001,2024-01-11,0.4,0.7999999999999999,347.90999999999997,3.0,58.0,CSE,A,5,H2,Thursday,0,2,1
STU0001,2024-01-12,0.8,0.7714285714285714,323.09,4.0,41.75,CSE,A,5,H2,Friday,0,2,1
STU0001,2024-01-13,0.8,0.742857142857143,193.95,4.0,21.5,CSE,A,5,H2,Saturday,1,2,1
STU0001,2024-01-15,0.8,0.7428571428571429,0.0,0.0,,CSE,A,5,H2,Monday,0,3,1
STU0001,2024-01-16,0.8,0.7714285714285715,33.68,1.0,14.0,CSE,A,5,H2,Tuesday,0,3,1
STU0001,2024-01-17,1.0,0.8,74.74,1.0,60.0,CSE,A,5,H2,Wednesday,0,3,1
STU0001,2024-01-18,0.8,0.7714285714285714,0.0,0.0,,CSE,A,5,H2,Thursday,0,3,1
STU0001,2024-01-19,0.8,0.8285714285714286,306.94,2.0,96.0,CSE,A,5,H2,Friday,0,3,1
STU0001,2024-01-20,1.0,0.8571428571428571,43.21,2.0,21.0,CSE,A,5,H2,Saturday,1,3,1
STU0001,2024-01-22,1.0,0.8857142857142856,362.07,3.0,57.333333333333336,CSE,A,5,H2,Monday,0,4,1
